,precision,recall,f1-score,support
1,0.3333333333333333,0.36585365853658536,0.3488372093023256,82.0
2,0.21311475409836064,0.22807017543859648,0.22033898305084745,57.0
3,0.175,0.175,0.175,40.0
4,0.1111111111111111,0.047619047619047616,0.06666666666666667,21.0
accuracy,0.255,0.255,0.255,0.255
macro avg,0.20813979963570128,0.20413572039855737,0.20271071475495994,200.0
weighted avg,0.2440710382513661,0.255,0.247819865983445,200.0
